iter	RMSE
0	75150.24714
1	73255.88755
2	71450.93676
3	69700.76701
4	67943.2213
5	66194.60709
6	64640.15386
7	63009.85329
8	61455.75665
9	59850.14823
10	58511.68703
11	57018.68533
12	55779.86944
13	54460.09762
14	53303.46061
15	52053.90122
16	50909.98725
17	49796.7488
18	48811.98455
19	47821.51713
20	46905.72476
21	46012.10052
22	45115.53451
23	44195.19212
24	43316.81438
25	42451.9186
26	41675.81288
27	40900.01938
28	40214.6332
29	39470.23218
30	38785.3253
31	38155.32356
32	37560.59099
33	36978.17816
34	36324.48222
35	35739.08064
36	35201.19604
37	34662.97518
38	34183.75672
39	33672.37549
40	33244.85371
41	32831.78354
42	32387.26197
43	31976.74972
44	31552.59183
45	31157.13671
46	30784.69117
47	30450.02885
48	30122.24559
49	29809.37659
50	29452.80208
51	29157.06086
52	28850.77378
53	28535.34888
54	28248.20204
55	27968.06761
56	27677.10134
57	27404.22489
58	27137.95706
59	26875.20334
60	26600.49055
61	26381.71522
62	26159.46661
63	25928.38609
64	25698.51588
65	25475.20311
66	25287.70217
67	25117.2446
68	24912.14808
69	24711.44311
70	24570.63006
71	24415.63405
72	24246.88489
73	24121.36426
74	23972.81977
75	23769.91264
76	23629.39481
77	23481.09308
78	23349.58167
79	23213.91921
80	23090.69717
81	22971.63621
82	22814.65766
83	22714.51979
84	22607.7435
85	22472.15524
86	22356.57587
87	22231.47933
88	22103.0237
89	22025.00438
90	21921.40394
91	21828.99183
92	21744.64906
93	21632.0504
94	21506.62828
95	21417.89008
96	21351.21568
97	21273.54279
98	21170.21831
99	21065.6762
100	20981.51364
101	20909.98301
102	20815.83011
103	20738.5286
104	20679.71898
105	20592.93774
106	20510.47669
107	20424.64707
108	20329.7699
109	20257.97822
110	20206.25725
111	20141.1473
112	20063.40804
113	19969.31368
114	19890.45664
115	19832.44039
116	19743.15968
117	19680.22702
118	19634.02907
119	19552.92419
120	19497.88931
121	19409.18269
122	19385.26187
123	19318.4148
124	19258.98316
125	19190.20816
126	19140.5652
127	19090.23998
128	19012.07314
129	18968.875
130	18916.64909
131	18865.13288
132	18817.79845
133	18791.83427
134	18736.08703
135	18721.58121
136	18647.21512
137	18596.03383
138	18555.13794
139	18502.78602
140	18450.96761
141	18399.48175
142	18373.61606
143	18299.94295
144	18258.21324
145	18225.15839
146	18181.72919
147	18120.38943
148	18052.78353
149	18006.13635
150	17950.11611
151	17904.5448
152	17844.82226
153	17787.33944
154	17727.80541
155	17713.28646
156	17672.00903
157	17656.44911
158	17598.79677
159	17569.97578
160	17521.26286
161	17482.91564
162	17457.98971
163	17394.10606
164	17361.35663
165	17322.77567
166	17307.84018
167	17266.41845
168	17234.22409
169	17203.58965
170	17189.90677
171	17134.15904
172	17102.58412
173	17067.26578
174	17016.04369
175	16979.05637
176	16970.59962
177	16933.93336
178	16899.73213
179	16868.27721
180	16853.09703
181	16822.37751
182	16796.27073
183	16756.73202
184	16746.95111
185	16708.09553
186	16660.30812
187	16650.40126
188	16621.92243
189	16586.31787
190	16550.97091
191	16542.27092
192	16511.9588
193	16502.24588
194	16463.52777
195	16455.60598
196	16446.49317
197	16413.11651
198	16367.18594
199	16347.44756
200	16337.62803
201	16328.90293
202	16321.58157
203	16299.4449
204	16250.05918
205	16216.51429
206	16208.91865
207	16190.93325
208	16183.60925
209	16150.78465
210	16102.43261
211	16094.87421
212	16053.56183
213	16046.02048
214	16028.06582
215	15978.03231
216	15943.86664
217	15904.67397
